group_id	canonical_label	n_members	confidence	members	action
G0740	correlation and agreement between SpO2/FIO2 ratio and PaO2/FIO2 ratio	7	0.6	SpO2/FIO2 ratio | PaO2/FIO2 ratio | SpO2/FIO2 ratio as surrogate for PaO2/FIO2 ratio in ALI/ARDS | Comparison of the SpO2/FIO2 ratio and the PaO2/FIO2 ratio | SpO2/FIO2 ratio and PaO2/FIO2 ratio | pulse oximetry (SpO2/FIO2 ratio) | correlation and agreement between SpO2/FIO2 ratio and PaO2/FIO2 ratio	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0741	Handgrip strength measurement	3	0.667	handgrip strength | Handgrip strength measurement | handgrip	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0744	The value of blood lactate kinetics in critically ill patients	4	0.667	blood lactate kinetics | blood lactate kinetics monitoring | blood lactate levels | The value of blood lactate kinetics in critically ill patients	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0745	incidence, clinical course, and outcome	5	0.667	clinical outcome | incidence, clinical course, and outcome | Clinical features and outcome of ARDS | clinical trial | clinical study	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0748	early corticosteroid therapy on ICU admission	7	0.667	ICU admission | early corticosteroid therapy on ICU admission | cancer requiring ICU admission | ICU admission for severe CAP | ICU admission outcomes | Icu admission severe cap | Medical complication icu admission	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0752	change in oxygenation and fluid balance	2	0.667	change in oxygenation | change in oxygenation and fluid balance	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0758	validation and utility of ARDS subphenotypes	2	0.667	ARDS subphenotypes | validation and utility of ARDS subphenotypes	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0763	ability of pulse pressure variation to predict fluid responsiveness	5	0.615	prediction of fluid responsiveness by pulse pressure variations | Fluid responsiveness prediction | Prediction of fluid responsiveness | Pulse pressure variations | ability of pulse pressure variation to predict fluid responsiveness	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0764	Lymphopenia on admission	2	0.667	lymphopenia | Lymphopenia on admission	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0765	Lung expansion interventions	2	0.667	lung expansion modalities | Lung expansion interventions	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0766	physical complications	2	0.667	physical complications | physical	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0770	clinical practice guideline recommendations	2	0.667	clinical practice guideline recommendations | Clinical Practice	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0771	resectional surgery	2	0.667	resectional surgery | surgery	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0778	Ventilatory variables and mechanical power	2	0.667	mechanical power | Ventilatory variables and mechanical power	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0779	Increased in-hospital mortality	8	0.667	hospital mortality | in-hospital mortality | Increased in-hospital mortality | Reduced hospital mortality | High hospital mortality | hospital and 90-day mortality | hospital or 30-day mortality | in-hospital	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0784	Assessment of diaphragmatic dysfunction in the critically ill patient with ultrasound	5	0.667	diaphragmatic dysfunction assessment | Detect diaphragmatic dysfunction | diaphragmatic dysfunction | assessment of diaphragmatic dysfunction | Assessment of diaphragmatic dysfunction in the critically ill patient with ultrasound	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0785	not reported in provided abstract	3	0.667	not reported | not reported in abstract | not reported in provided abstract	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0786	low-frequency fatigue of the diaphragm	3	0.667	low-frequency fatigue of the diaphragm | Diaphragm fatigue | fatigue of the diaphragm	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0787	American journal of respiratory and critical care medicine	4	0.667	critical care medicine | American journal of respiratory and critical care medicine | critical care | Intensive care medicine	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0794	quality-adjusted survival in the first year after acute respiratory distress syndrome	2	0.667	quality-adjusted survival in the first year | quality-adjusted survival in the first year after acute respiratory distress syndrome	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0795	respiratory mechanics in ventilator-dependent patients	2	0.667	respiratory mechanics | respiratory mechanics in ventilator-dependent patients	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0799	early bronchoscopy and bronchoalveolar lavage diagnostic strategy	3	0.6	early bronchoscopy and bronchoalveolar lavage diagnostic strategy | Fiberoptic bronchoscopy with bronchoalveolar lavage | Fiberoptic bronchoscopy and bronchoalveolar lavage	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0800	Avoidance of intubation complications	5	0.667	intubation avoidance | Avoidance of intubation | Avoidance of intubation in COPD | Avoidance of intubation complications | Hfnc for cards avoidance intubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0808	31-day survival	2	0.667	31-day survival | 15-day survival	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0811	erythropoietin response	2	0.667	erythropoietin | erythropoietin response	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0817	Time to 2-point clinical improvement	2	0.667	clinical improvement | Time to 2-point clinical improvement	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0818	hypercapnic acidosis	2	0.667	hypercapnic acidosis | hypercapnic	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0822	Fluid Response Evaluation in Sepsis Hypotension and Shock	2	0.667	fluid response evaluation | Fluid Response Evaluation in Sepsis Hypotension and Shock	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0832	Carbon dioxide and the critically ill	4	0.667	carbon dioxide | Carbon dioxide administration | Arterial carbon dioxide levels | Carbon dioxide and the critically ill	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0833	clinical and biological characteristics	2	0.667	clinical and biological characteristics | Clinical and biological differences	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0835	Restrictive oxygen target (Pao2 9-10 kPa)	2	0.667	restrictive oxygen target | Restrictive oxygen target (Pao2 9-10 kPa)	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0838	twitch transdiaphragmatic pressure, esophageal pressure, and endotracheal tube pressure	3	0.667	twitch transdiaphragmatic pressure | twitch transdiaphragmatic, esophageal, and endotracheal tube pressure | twitch transdiaphragmatic pressure, esophageal pressure, and endotracheal tube pressure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0841	Respiratory response and inspiratory effort during pressure support ventilation	2	0.667	respiratory response and inspiratory effort | Respiratory response and inspiratory effort during pressure support ventilation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0848	incidence of delirium	7	0.667	delirium | Delirium duration | Delirium incidence | Delirium prediction | Delirium resolution | incidence of delirium | delirium occurrence	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0854	muscle weakness	2	0.667	muscle weakness | weakness	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0856	Extravascular lung water in patients with severe sepsis	4	0.667	extravascular lung water measurement | extravascular lung water | measurement of extravascular lung water | Extravascular lung water in patients with severe sepsis	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0863	Composite of pulmonary and systemic complications during the first 7 postoperative days	2	0.667	Composite of pulmonary and systemic complications during the first 7 postoperative days | Composite of severe postoperative pulmonary complications within 7 postoperative days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0869	Identification of ARDS phenotypes in COVID-19	4	0.6	Thrombotic complications in COVID-19 ARDS | Dexamethasone for COVID-19-associated ARDS | COVID-19 associated ARDS | Identification of ARDS phenotypes in COVID-19	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0874	Daily screening and trials of spontaneous breathing	2	0.667	once-daily spontaneous breathing trial | Daily screening and trials of spontaneous breathing	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0876	ARDS hyperinflammatory subphenotype	2	0.667	ARDS subphenotype identification | ARDS hyperinflammatory subphenotype	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0877	Expanded Berlin ARDS definition to include HFNO	7	0.667	Berlin definition for ARDS | Expanded Berlin ARDS definition to include HFNO | Berlin definition | inclusion of patients in ARDS definition | Berlin definition ards severity criteria | Berlin definition criteria for ards | Delphi ards definition	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0878	Improved interobserver agreement for ARDS diagnosis	9	0.667	Improved ARDS diagnosis | ARDS diagnosis threshold | Improved interobserver agreement for ARDS diagnosis | ARDS diagnosis accuracy | Improved outcome in ARDS | Improved survival in ARDS | Improved ards outcomes | Improved outcome ards | Improved physiology ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0880	Experimental ventilation strategy for ARDS	2	0.667	Experimental ventilation strategy for ARDS | ventilation strategy	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0881	early activity protocol in respiratory ICU	2	0.667	Early ICU mobility therapy protocol | early activity protocol in respiratory ICU	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0883	Improved oxygenation and ventilation distribution	9	0.667	Improved oxygenation | Improved oxygenation (PaO2/FiO2SET) | Improved oxygenation during 24h | Improved oxygenation at 120h | Improved oxygenation at 10 minutes | Improved oxygenation and ventilation distribution | Improved oxygenation index | Improved oxygenation parameters | Improved oxygenation at 24 hours	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0884	Treatment protocol for acute chest syndrome in sickle cell disease	2	0.6	Treatment protocol for acute chest syndrome in sickle cell disease | sickle cell disease	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0887	Improved PaO2:FiO2 ratio within 1 hour	6	0.6	Improved PaO2:FiO2 ratio within 1 hour | Improved PaO2/FiO2 ratio | Improved pao2 fio2 | Improved pao2 fio2 ratio | Improved pao2 fio2 ratio 1h | Increased ratio pao2 fio2	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0889	RESP score for ECMO survival prediction	2	0.667	RESP score for ECMO survival prediction | Improved ECMO survival prediction	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0893	Reduced worse clinical status on WHO-CPS at day 28	3	0.667	Reduced WHO-CPS >5 at day 4 | Reduced worse clinical status on WHO-CPS at day 28 | Reduced who cps above 5 day4	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0898	Accuracy of ICU-acquired weakness diagnosis	2	0.667	ICU-acquired paresis diagnosis | Accuracy of ICU-acquired weakness diagnosis	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0902	Reduced duration of endotracheal mechanical ventilation	6	0.6	Reduced need for intubation and mechanical ventilation | Reduced need for intubation | Reduced need for endotracheal mechanical ventilation | Reduced duration of endotracheal mechanical ventilation | need for endotracheal intubation/mechanical ventilation | Reduced need for intubation copd exacerbation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0910	Peak cough flow threshold for extubation/decannulation	2	0.667	Peak cough flow threshold for extubation/decannulation | Peak cough flow threshold 160 lmin	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0911	Successful extubation and tracheostomy decannulation	2	0.667	Successful extubation and tracheostomy decannulation | Successful extubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0912	Days alive without delirium or coma	2	0.667	Days alive without delirium or coma | delirium/coma-free days	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0913	Reduced treatment failure in severe pneumonia	2	0.667	Reduced treatment failure in severe pneumonia | Reduced treatment failure	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0919	Ards respiratory illness severity	3	0.667	ARDS severity | Reduced ARDS severity by day 7 | Ards respiratory illness severity	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0928	Increased 31-day mortality	2	0.667	Increased mortality | Increased 31-day mortality	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0938	Feasibility of ARDS management	2	0.667	Feasibility of ARDS management | Feasible ards management	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0944	Dysphagia in ARDS survivors after intubation	4	0.667	Dysphagia in ARDS survivors after intubation | Dysphagia symptoms in ARDS survivors | Delayed dysphagia recovery ards survivors | Dysphagia symptoms ards survivors	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0945	procalcitonin ards biomarker	2	0.667	procalcitonin ards biomarker | Neopterin ards biomarker	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0947	Molecular phenotypes in sepsis	2	0.667	Sepsis molecular phenotyping | Molecular phenotypes in sepsis	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0956	supportive care for ARDS	2	0.667	supportive care for ARDS | Ards costs of care	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0957	Reduced hospital mortality in OHS vs COPD	2	0.667	Reduced mortality in COPD exacerbation | Reduced hospital mortality in OHS vs COPD	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0960	Liberation From Mechanical Ventilation in Critically Ill Adults	3	0.6	Physiotherapy for critically ill adults | Recommendations for physiotherapy in critically ill patients | Liberation From Mechanical Ventilation in Critically Ill Adults	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0962	Increased proportion of patients successfully treated with noninvasive ventilation	2	0.6	Increased use of noninvasive ventilation | Increased proportion of patients successfully treated with noninvasive ventilation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0971	Reduced intubation rate hypercapnic subgroup	6	0.667	Reduced intubation rate in ARDS | Reduced intubation rate | Reduced endotracheal intubation rate | Reduced ards | Reduced intubation rate ards | Reduced intubation rate hypercapnic subgroup	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0972	Reduced reintubation at 7 days	5	0.667	Reduced reintubation rate | Reduced reintubation at 7 days | Reduced VAP rate | Reduced reintubation 72h | Reduced reintubation 7d	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0977	Reduced life-threatening intubation complications	3	0.6	Reduced life-threatening intubation complications | Reduced life threatening intubation complications | Reduced mild moderate intubation complications	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0980	Preoperative physiologic assessment for lung cancer resection	4	0.667	Preoperative physiologic assessment for lung cancer resection | Preoperative risk assessment for lung cancer resection | Dlco assessment lung cancer | Preop risk assessment lung cancer resection	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0986	PEEP titration guided by respiratory system compliance in ARDS	3	0.667	Respiratory system compliance | PEEP titration guided by respiratory system compliance in ARDS | Improved respiratory compliance	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G0992	Intravenous N-acetylcysteine (NAC)	2	0.667	N-acetylcysteine (NAC) for ARDS | Intravenous N-acetylcysteine (NAC)	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1017	Prone positioning during pressure-controlled mechanical ventilation	2	0.615	Prone positioning during pressure-controlled mechanical ventilation | Limiting plateau pressure during mechanical ventilation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1027	Reduced ARDS incidence at 7 days	12	0.667	Reduced ARDS incidence | Increased incidence of ARDS | Reduced ARDS incidence at 7 days | Reduced progression to ARDS | Incidence of ARDS | Ards incidence reduction | Increased ards incidence | Reduced ards incidence 7d | Reduced inflammation ards | Reduced progression ards | Reduced vap incidence | Reduced vili ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1034	tracheostomy tube	2	0.667	Tracheostomy | tracheostomy tube	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1056	PEEP and FiO2 titration to identify ARDS severity	2	0.6	PEEP and FiO2 titration to identify ARDS severity | Systematic peep fio2 titration	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1086	Reduced severe postoperative ppcs 7d	2	0.6	Reduced severe PPCs within 7 days | Reduced severe postoperative ppcs 7d	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1111	Prevalence of PTSD in ICU survivors	2	0.667	Prevalence of PTSD in ICU survivors | survivors of ICU treatment	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1117	Corticosteroids prevention ards	2	0.667	Aspirin for ARDS prevention | Corticosteroids prevention ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1119	use of sedatives	2	0.667	use of sedatives | sedatives	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1124	prevention of unplanned extubation	3	0.667	prevention of unplanned extubation | Unplanned extubation | incidence of unplanned extubation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1132	The impact of patient positioning on pressure ulcers in patients with severe ARDS	2	0.6	Prone positioning in severe ARDS | The impact of patient positioning on pressure ulcers in patients with severe ARDS	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1135	Matrix metalloproteinase and TIMP regulation in ARDS	2	0.667	Matrix metalloproteinase and TIMP regulation in ARDS | Matrix metalloproteinase balance ards	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1137	Advances in Diagnosis and Treatment	2	0.667	Advances in Diagnosis and Treatment | Diagnosis	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1139	Transfusion requirements	2	0.667	Transfusion | Transfusion requirements	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1149	interobserver variation in interpreting chest radiographs for diagnosis of acute respiratory distress syndrome	2	0.667	Interobserver variation in interpreting chest radiographs | interobserver variation in interpreting chest radiographs for diagnosis of acute respiratory distress syndrome	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1162	Surfactant composition and function	2	0.667	Surfactant composition and function | Altered surfactant composition	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1167	prevalence of acute respiratory distress syndrome phenotypes in critically ill patients with COVID-19	2	0.625	Critically ill patients with severe acute respiratory syndrome | prevalence of acute respiratory distress syndrome phenotypes in critically ill patients with COVID-19	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1170	incidence of septic shock-associated early ARDS	2	0.6	incidence of septic shock-associated early ARDS | Reduced incidence of septic shock	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1175	Association Between Arterial Hyperoxia and Outcome in Subsets of Critical Illness	2	0.667	Outcome in subsets of critical illness | Association Between Arterial Hyperoxia and Outcome in Subsets of Critical Illness	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1176	Management of acute exacerbations	2	0.667	Reduction in acute exacerbations | Management of acute exacerbations	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1182	Preload defect septic shock	2	0.667	preload defect | Preload defect septic shock	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1197	Effect of Lung Recruitment and Titrated Positive End-Expiratory Pressure (PEEP) vs Low PEEP on Mortality in Patients With Acute Respiratory Distress Syndrome	2	0.621	lung recruitment maneuver with titrated positive end-expiratory pressure (PEEP) according to best respiratory-system compliance | Effect of Lung Recruitment and Titrated Positive End-Expiratory Pressure (PEEP) vs Low PEEP on Mortality in Patients With Acute Respiratory Distress Syndrome	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1201	four methods of weaning from mechanical ventilation	3	0.6	four methods of weaning from mechanical ventilation | duration of mechanical ventilation/weaning success | weaning success/failure from mechanical ventilation	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1210	variation of tidal volume from 8 to 6 ml/kg	2	0.615	variation of tidal volume from 8 to 6 ml/kg | Tidal volume greater than 9 ml per kg ibw	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1239	standard supportive intensive care treatment	2	0.667	standard supportive intensive care treatment | Intensive care	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1244	The New England Journal of Medicine	4	0.667	New England Journal of Medicine | The New England Journal of Medicine | New England | journal of medicine	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1247	High-flow nasal cannula oxygen during endotracheal intubation in hypoxemic patients	2	0.632	High-Flow Oxygen through Nasal Cannula in Acute Hypoxemic Respiratory Failure | High-flow nasal cannula oxygen during endotracheal intubation in hypoxemic patients	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1250	randomised controlled trial	4	0.667	randomised controlled trial | controlled trial | randomised trial | controlled	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1263	prospective cohort study	5	0.667	prospective cohort study | cohort study | cohort | prospective study | prospective	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1273	esophageal pressure	2	0.667	esophageal pressure | esophageal	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1279	meta-analysis	2	0.667	meta-analysis | meta-trial	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1280	Effect of Tocilizumab vs Standard Care on Clinical Worsening in Patients Hospitalized With COVID-19 Pneumonia	2	0.667	Effect of Tocilizumab vs Usual Care in Adults Hospitalized With COVID-19 and Moderate or Severe Pneumonia | Effect of Tocilizumab vs Standard Care on Clinical Worsening in Patients Hospitalized With COVID-19 Pneumonia	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1281	phase II	2	0.667	phase II | phase 3	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1291	seasonal influenza	2	0.667	seasonal influenza | influenza A	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1297	cancer patients	2	0.667	cancer patients | Solid cancer	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1302	chest radiographs	2	0.667	chest radiographs | Chest	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1313	observational survey	2	0.667	observational | observational survey	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1322	endotracheal tube	2	0.667	T-tube | endotracheal tube	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1349	1996-2005	2	0.667	1996-2005 | 1996	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1351	Noninvasive testing	2	0.667	noninvasive | Noninvasive testing	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1380	hypoxemic ventilated	2	0.667	ventilated | hypoxemic ventilated	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1383	Heterogeneity of Treatment Effect for Reporting and Analysis of Randomized Trials in Critical Care	2	0.667	Heterogeneity of Treatment Effect for Reporting and Analysis of Randomized Trials in Critical Care | Randomized Trials in Critical Care	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1414	Neuromuscular blocker use icu	2	0.667	neuromuscular blocker | Neuromuscular blocker use icu	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1451	Ards hyperinflammatory phenotype	2	0.667	Ards hyperinflammatory phenotype | Hypoinflammatory ards phenotype	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1466	Primary ml model	2	0.667	Custom ml model | Primary ml model	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1484	Enhanced peep benefit	2	0.667	Enhanced peep benefit | Limited peep benefit	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1497	Improved interobserver agreement	2	0.667	Improved interobserver agreement | Moderate interobserver agreement	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1501	Increased cardiac index with prone	2	0.667	Increased cardiac index with prone | No change cardiac index with prone	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
G1504	Increased intubation 28d	2	0.667	Increased intubation 28d | Reduced intubation 28d	CONFIRM_MERGE | SPLIT | KEEP_SEPARATE
